"","A_chr","A_start","A_end","A_peak","C_chr","C_start","C_end","C_peak","overlap"
"1","chr13",98791613,98792257,"union_peak_15521","chr13",98791729,98792111,"union_peak_9578",382
"2","chr5",149017711,149017921,"union_peak_41565","chr5",149017707,149018161,"union_peak_25954",210
"3","chr17",18458200,18458534,"union_peak_22617","chr17",18458030,18458800,"union_peak_14083",334
"4","chr11",11497673,11498479,"union_peak_7022","chr11",11497848,11498294,"union_peak_4425",446
"5","chr6",127434022,127434492,"union_peak_44008","chr6",127434015,127434506,"union_peak_27492",470
"6","chr9",114427404,114427825,"union_peak_53357","chr9",114427349,114427849,"union_peak_33256",421
"7","chr9",13425174,13425711,"union_peak_50767","chr9",13425250,13425576,"union_peak_31652",326
"8","chr9",13894361,13895205,"union_peak_50794","chr9",13894512,13895066,"union_peak_31664",554
"9","chr8",114973075,114973460,"union_peak_50014","chr8",114973388,114973826,"union_peak_31228",72
"10","chr19",37534946,37535417,"union_peak_27526","chr19",37534781,37535543,"union_peak_17146",471
"11","chrX",48098463,48098921,"union_peak_54196","chrX",48098185,48099040,"union_peak_33794",458
"12","chr9",15538866,15539425,"union_peak_50857","chr9",15538859,15539292,"union_peak_31698",426
"13","chr14",45155456,45155981,"union_peak_16539","chr14",45155410,45156148,"union_peak_10235",525
"14","chr10",54032312,54033013,"union_peak_4670","chr10",54032473,54033340,"union_peak_2919",540
"15","chr11",54294193,54294896,"union_peak_7950","chr11",54294449,54294894,"union_peak_4998",445
"16","chr4",135405966,135406732,"union_peak_37494","chr4",135405834,135406689,"union_peak_23424",723
"17","chr11",87870401,87871090,"union_peak_9493","chr11",87870558,87870998,"union_peak_5922",440
"18","chr17",83935909,83936640,"union_peak_24694","chr17",83935485,83936565,"union_peak_15397",656
"19","chr14",64718723,64719563,"union_peak_17131","chr14",64719050,64719608,"union_peak_10622",513
"20","chr2",124732520,124733018,"union_peak_30802","chr2",124732634,124732894,"union_peak_19226",260
"21","chr11",75538745,75539253,"union_peak_8822","chr11",75538806,75539374,"union_peak_5516",447
"22","chr19",47463923,47465072,"union_peak_27904","chr19",47463389,47464089,"union_peak_17362",166
"23","chr11",88107403,88107752,"union_peak_9515","chr11",88107509,88107753,"union_peak_5939",243
"24","chr4",133078878,133079444,"union_peak_37237","chr4",133078706,133079024,"union_peak_23259",146
"25","chr9",121682174,121682779,"union_peak_53660","chr9",121682265,121682732,"union_peak_33426",467
"26","chr6",86909875,86910276,"union_peak_43041","chr6",86910013,86910601,"union_peak_26899",263
"27","chr1",193180982,193181590,"union_peak_3600","chr1",193181139,193181535,"union_peak_2240",396
"28","chr3",93514543,93515151,"union_peak_33705","chr3",93514653,93515059,"union_peak_20962",406
"29","chr19",36384123,36384840,"union_peak_27478","chr19",36383937,36384635,"union_peak_17121",512
"30","chr16",91490752,91491293,"union_peak_22014","chr16",91490693,91491468,"union_peak_13717",541
"31","chr16",19976823,19977577,"union_peak_20815","chr16",19976627,19977416,"union_peak_12903",593
"32","chr2",43737635,43738256,"union_peak_29434","chr2",43737436,43737726,"union_peak_18320",91
"33","chr2",43737635,43738256,"union_peak_29434","chr2",43738104,43739582,"union_peak_18321",152
"34","chr16",87654077,87654499,"union_peak_21921","chr16",87654205,87654617,"union_peak_13652",294
"35","chr17",29973163,29973566,"union_peak_23189","chr17",29972776,29973754,"union_peak_14426",403
"36","chr9",15516051,15516802,"union_peak_50855","chr9",15516272,15516549,"union_peak_31697",277
"37","chr10",21196339,21197021,"union_peak_4062","chr10",21196346,21197158,"union_peak_2545",675
"38","chr15",100719834,100720524,"union_peak_20247","chr15",100719993,100720536,"union_peak_12584",531
"39","chr3",19659322,19659876,"union_peak_32578","chr3",19659416,19659822,"union_peak_20239",406
"40","chr9",114426108,114426649,"union_peak_53356","chr9",114426277,114426843,"union_peak_33255",372
"41","chr15",61651113,61651678,"union_peak_18789","chr15",61651052,61651517,"union_peak_11704",404
"42","chr11",50915748,50916378,"union_peak_7756","chr11",50915828,50916457,"union_peak_4873",550
"43","chr17",37009360,37009933,"union_peak_23741","chr17",37009506,37009875,"union_peak_14776",369
"44","chr9",120090923,120092090,"union_peak_53589","chr9",120091131,120091529,"union_peak_33389",398
"45","chr13",112354893,112355352,"union_peak_15788","chr13",112354710,112355288,"union_peak_9759",395
"46","chr1",152253692,152254346,"union_peak_2481","chr1",152253642,152254553,"union_peak_1541",654
"47","chr17",56443241,56443783,"union_peak_24199","chr17",56443286,56443898,"union_peak_15073",497
"48","chr11",119133604,119134373,"union_peak_11080","chr11",119133705,119134311,"union_peak_6865",606
